idx,date_time,proposal_id,target_id,obsid,object,ra,dec,ins,abstract,PI
43,2018-10-12 10:41:42,A05_069,T04,A05_069T04_9000002428,NGC 6960-VI,312.426000,29.988861,uvit1,"The 5000- 8000 yr old Cygnus supernova remnant (SNR), 450 pc away, is optically, UV and x-ray bright, and serves as an excellent laboratory to study the propagation and the interaction of the supernova shock and its ejecta, as the blast wave propagates through the interstellar medium. We request herein Astrosat multiwaveband time to continue our program to map out this SNR in the UV narrow band filters, as well as in soft x-ray (0.3-10 keV) bands. The narrow band UVIT/NUV, and narrow + broad band UVIT/FUV filters trace emission line regions in C IV, He II, and Mg II, our observations will detect and isolate regions of hot (10$^{4-5}$ K) and intermediate (5000- 8000 K) temperatures. Combined with Astrosat/SXT spectra and, archival x-ray and optical data of select fields, this will help determinethe evolving physical conditions as the SN blast wave and ejecta interact with the local ISM.",fsutaria
44,2018-10-13 08:04:16,C04_007,T04,C04_007T04_9000002430,RX J1856.6-3754,284.148642,-37.910150,sxt,"It is essential to monitor and improve spectral characterization of SXT. To this purpose, we propose 5 targets including background observations for a total of 138ks. All our targets are standard calibration targets for X-ray CCD cameras in space. The targets will be used for different aspects of SXT calibration including effective area, response, gain, etc. We propose to observe crab in the bias mode, calibration mode and in the photon counting mode. All except the background target have been observed with SXT earlier. Regular observations during Cal phases will help us (i) to track possible changes due to irradiation, contamination, temperature related changes, etc in space, and (ii) improve current level of calibration. The resulting data would be crucial for cross-calibration with other instruments in the soft X-rays and also provide more confidence on the measurements of the low energy interstellar absorption.",gulabd
45,2018-10-14 08:15:52,C04_007,T02,C04_007T02_9000002432,Crab,83.633208,22.014460,sxt,"It is essential to monitor and improve spectral characterization of SXT. To this purpose, we propose 5 targets including background observations for a total of 138ks. All our targets are standard calibration targets for X-ray CCD cameras in space. The targets will be used for different aspects of SXT calibration including effective area, response, gain, etc. We propose to observe crab in the bias mode, calibration mode and in the photon counting mode. All except the background target have been observed with SXT earlier. Regular observations during Cal phases will help us (i) to track possible changes due to irradiation, contamination, temperature related changes, etc in space, and (ii) improve current level of calibration. The resulting data would be crucial for cross-calibration with other instruments in the soft X-rays and also provide more confidence on the measurements of the low energy interstellar absorption.",gulabd
46,2018-10-14 11:45:14,C04_008,T01,C04_008T01_9000002434,Crab Offset,83.428000,22.015000,czt1,"CZT Imager is an imaging spectroscopic instrument with fov of 4.8 degx4.8deg. As there are slight offsets between the boresights of different instruments on-board AstroSat, depending on the primary instrument of a given observation, the off-axis angle of the source for CZTI will be different, hence response of CZTI for each observation will be different. During previous cycles, few observations of standard calibration source, Crab was made with CZTI, which is used to characterize the alignment of coded-mask, imaging, and the spectral response of the instrument. However, most of these observations were along the boresight of CZTI. In order to verify these results and to validate the response matrix at off-axis angles, we propose an off-axis observation of crab. Hence we propose 21 ks observation of Crab at off-axis angle of 0.205 degree in this calibration cycle, such that the source close to on-axis in quadrant 2 of CZTI.",arrao
47,2018-10-15 07:04:08,A05_108,T01,A05_108T01_9000002438,Abell4059,359.253083,-34.680539,uvit1,"Galaxies with tentacles of material that appear to be stripped, having a morphology suggestive of ram pressure stripping and found mostly in galaxy clusters are known as Jellyfish galaxies. The optical and H$\alpha$ imaging of these galaxies reveal tidal debris with tails of ionised gas up to 150 Kpc long where new stars are born in knots and end up contributing to the intracluster light. The ongoing star formation in Jellyfish galaxies can be better understand in UV and making use of the spatial resolution of UVIT we plan to study the spatial variation of star formation in these systems. We propose to observe two galaxy clusters at redshift ~ 0.05 with jellfyish galaxies for which we have VLT MUSE Halpha and VLA HI observations. This study will shed more light in to the triggered star formation and galaxy evolution in dense environments.",koshy
48,2018-10-16 07:23:22,A05_174,T01,A05_174T01_9000002440,1H 2354-315,359.782958,-30.627969,sxt,"Multiwavelength observations of a bright and variable high frequency BL Lac type object known as 1H 2354-315 are proposed. The source is embedded in a galaxy and is located towards a group of galaxies forming a wall of a supercluster. The aim of the proposal is to use the wide-band X-ray capability of the AstroSat to characterize the precise spectral shape of X-ray emission and study its intensity variability simultaneously in soft X-rays, hard X-rays, nuv and fuv bands. Modelling the SED would probe the location and nature of acceleration processes in the source. Deep exposure in X-rays help to study the presence of transient absorption towards the X-ray source. Simultaneous deep exposures in the UVIT will map and characterize its host galaxy and the galaxies in its neighbourhood in nuv and fuv bands.",KPSingh19
49,2018-10-18 16:20:12,T03_018,T01,T03_018T01_9000002442,PMN J1923-2104,290.884121,-21.075930,sxt,,
50,2018-10-21 17:20:38,T03_020,T01,T03_020T01_9000002444,NGC1566,65.001675,-54.937938,sxt,,
51,2018-10-22 14:20:26,C04_001,T01,C04_001T01_9000002446,Blank Sky-8,237.391917,70.348089,laxpc1,"The LAXPC instrument has a large detection volume which gives rise to high background rate. Further, observations during the last two years have shown that the background rate is not constant, but varies during each orbit and also has some long term variation which is not properly understood. In order to produce a robust LAXPC background model we need frequent observations of the blank sky for at least one day which cover entire latitude and longitude range of the AstroSat orbit. These observations are important to analyse data of faint sources like AGNs, Blazars, etc., whose count rates are less than 10% of the LAXPC instrument background. Many of these sources have count rates less than 1% of the background. We propose observation of the Blank Sky-8 during December 2018, March 2019, June 2019 and September 2019.",tilak
52,2018-10-23 07:35:48,A05_064,T01,A05_064T01_9000002448,Mrk 180,174.110000,70.157500,sxt,"We request a single pointing 40\,ks multi-wavelength observation of the bright High-energy peaked BL Lac Mrk~180 using the SXT, LAXPC and UVIT instruments on-board AstroSat. SXT and LAXPC instruments will provide unprecedented spectral coverage of the synchrotron peak and beyond, which help to constrain the peak securely. Previous observation results of Mrk~180 had shown an evidence of departure of the X-ray spectrum from a power law shape, which is an indication of the spectral curvature. The broadband X-ray coverage of AstroSat can confirm the presence of such curvature. Optical/UV observation with UVIT will give an important piece of information regarding the complex multi-wavelength variability behaviour and origin of the low energy emission. By modelling the broadband SED, which can be obtained from the simultaneous multi-wavelength observation of AstroSat along with {\it Fermi}, we will be able to constrain the physical parameters which provide useful information regarding the underlying physical processes.",jitheshthejus
53,2018-10-24 12:50:00,A05_064,T01,A05_064T01_9000002450,Mrk 180,174.110000,70.157500,sxt,"We request a single pointing 40\,ks multi-wavelength observation of the bright High-energy peaked BL Lac Mrk~180 using the SXT, LAXPC and UVIT instruments on-board AstroSat. SXT and LAXPC instruments will provide unprecedented spectral coverage of the synchrotron peak and beyond, which help to constrain the peak securely. Previous observation results of Mrk~180 had shown an evidence of departure of the X-ray spectrum from a power law shape, which is an indication of the spectral curvature. The broadband X-ray coverage of AstroSat can confirm the presence of such curvature. Optical/UV observation with UVIT will give an important piece of information regarding the complex multi-wavelength variability behaviour and origin of the low energy emission. By modelling the broadband SED, which can be obtained from the simultaneous multi-wavelength observation of AstroSat along with {\it Fermi}, we will be able to constrain the physical parameters which provide useful information regarding the underlying physical processes.",jitheshthejus
